;name;energy_100g;protein_100g;calcium_100g;fat_100g;carbohydrates_100g;vitamins_100g
0;apple pie;272789;2.63;0.018;14.04;35.09;0.0
1;baby back ribs;228.962;18.75;0.026;9.82;0.0;0.0
2;baklava;429.244;6.64;0.04;29.13;37.53;0.0013
3;beef carpaccio;200;27.1;0.012;14.93;0.0;0.0
4;beef tartare;250;15.67;0.032;13.84;1.56;0.0052
5;beet salad;150;1.32;0.018;5.29;11.01;0.4542
6;beignets;350;12.5;0.25;0.0;75.0;0.0
7;bibimbap;150;5.38;0.033;2.81;8.34;0.0055
8;bread pudding;306.876;4.42;0.044;12.39;43.36;0.398
9;breakfast burrito;228.484;5.16;0.052;5.16;18.06;0.1305
10;bruschetta;85.502;4.03;0.039;7.7;22.18;0.1366
11;caesar salad;178.055;5.91;0.157;15.75;7.48;41.505
12;cannoli;300;6.32;0.021;14.74;42.11;0.0
13;caprese salad;147.941;3.52;0.106;11.97;8.45;10.602
14;carrot cake;419.906;3.85;0.046;29.23;56.15;1.923
15;ceviche;100;10.34;0.025;0.75;3.58;1.939
16;cheese plate;400;6.46;0.146;11.51;15.58;0.27
17;cheesecake;400;5.5;0.051;22.5;25.5;0.2544
18;chicken curry;135.035;5.73;0.032;3.85;6.67;0.263
19;chicken quesadilla;117.588;14.16;0.221;10.62;22.12;0.2661
20;chicken wings;215.817;18.58;0.0;18.58;0.0;0.0
21;chocolate cake;387.897;3.53;0.024;12.94;60.0;0.0
22;chocolate mousse;268.875;1.19;0.036;23.81;19.05;0.0007
23;churros;400.086;3.02;0.007;30.58;49.8;0.0
24;clam chowder;110.498;2.68;0.007;3.12;8.48;0.0
25;club sandwich;250;14.04;0.171;12.33;20.21;0.7741
26;crab cakes;191.849;11.76;0.024;5.88;15.29;0.0
27;creme brulee;389.888;3.64;0.055;18.18;17.27;0.909
28;croque madame;350;15.0;0.0;7.5;70.0;0.0
29;cup cakes;250;2.22;0.222;11.11;60.0;0.0
30;deviled eggs;293.014;10.71;0.0;25.0;0.0;0.714
31;donuts;428.970;4.0;0.08;26.0;64.0;0.0
32;dumplings;119.5;14.29;0.0;0.89;73.21;0.0
33;edamame;202.014;10.59;0.059;4.71;8.24;0.0
34;eggs benedict;300;12.65;0.06;22.55;8.25;0.0011
35;escargots;250;16.95;0.169;0.85;1.69;0.169
36;falafel;364.415;8.33;0.087;40.54;29.32;0.1767
37;filet mignon;250;15.18;0.0;15.18;0.0;0.089
38;fish and chips;300;13.9;0.028;10.66;12.63;0.926
39;foie gras;450;11.4;0.07;43.84;4.67;3.335
40;french fries;141.01;2.38;0.011;4.76;25.0;3.335
41;french onion soup;73.492;4.21;0.088;3.51;6.32;0.1421
42;french toast;226.094;6.78;0.068;3.39;33.05;0.0
43;fried calamari;300;2.07;0.05;18.1;34.05;0.0068
44;fried rice;200;7.69;0.013;3.21;27.24;0.2419
45;frozen yogurt;164.204;4.41;0.368;2.21;32.35;0.441
46;garlic bread;334.660;8.51;0.085;12.77;40.43;0.0
47;gnocchi;199.872;3.33;0.0;0.0;33.33;0.001
48;greek salad;76.320;2.01;0.034;4.03;7.38;32.001
49;grilled cheese sandwich;250;15.33;0.4;18.0;31.33;0.137
50;grilled salmon;149.494;24.64;0.014;9.42;0.0;0.1467
51;guacamole;145.107;3.57;0.0;7.14;10.71;0.37410000000000004
52;gyoza;267.441;3.33;0.0;7.14;33.33;0.37410000000000004
53;hamburger;267.441;9.3;0.093;2.33;44.19;0.0
54;hot and sour soup;50;2.58;0.019;1.21;4.35;0.0
55;hot dog;185.942;19.3;0.035;14.04;1.75;0.2651
56;huevos rancheros;477.044;6.87;0.049;6.48;8.72;0.264
57;hummus;204.701;10.71;0.071;8.93;28.57;0.0
58;ice cream;220.701;4.29;0.086;8.57;37.14;0.0
59;lasagna;220.817;12.5;0.018;1.79;75.0;0.0
60;lobster bisque;120.217;5.22;0.052;2.6;1.7;0.0013
61;lobster roll sandwich;200;21.64;0.052;8.12;16.5;0.0004
62;macaroni and cheese;199.756;6.09;0.085;4.78;18.7;0.0004
63;macarons;400;10.0;0.083;23.33;53.33;0.0004
64;miso soup;375.947;1.92;0.027;0.8;2.08;0.0004
65;mussels;71.461;23.89;0.033;4.42;7.08;0.0004
66;nachos;300;4.32;0.063;21.5;34.91;0.0011
67;omelette;150;7.93;0.066;3.96;4.85;0.1386
68;onion rings;425.702;0.0;0.071;21.43;71.43;0.0
69;oysters;70;4.77;0.075;10.78;18.41;0.0018
70;pad thai;148.897;8.12;0.021;7.39;14.32;0.0047
71;paella;422.073;13.33;0.067;3.33;82.22;1.341
72;pancakes;262.342;6.45;0.097;2.42;53.23;0.161
73;panna cotta;250;3.0;0.15;10.0;30.0;0.161
74;peking duck;250;0.36;0.011;0.13;60.61;0.16190000000000002
75;pho;300;6.14;0.011;2.24;10.39;0.1625
76;pizza;251.126;10.59;0.294;9.41;23.53;0.2378
77;pork chop;200;27.69;0.008;10.5;0.0;0.235
78;poutine;300;11.25;0.188;18.75;20.0;0.375
79;prime rib;350;16.15;0.009;31.66;0.0;0.0
80;pulled pork sandwich;250;10.33;0.033;7.07;31.52;0.109
81;ramen;359.933;12.73;0.036;2.73;63.64;0.7281
82;ravioli;219.402;13.0;0.25;10.0;29.0;1.75
83;red velvet cake;413.685;4.67;0.037;22.43;57.01;0.374
84;risotto;319.099;8.11;0.0;2.7;75.68;0.8207000000000001
85;samosa;300;4.66;0.027;17.87;32.21;0.8154
86;sashimi;150;14.73;0.016;9.3;3.1;0.0037
87;scallops;84.176;15.04;0.0;0.88;0.88;0.0
88;seaweed salad;85.641;0.0;0.111;2.78;11.11;0.222
89;shrimp and grits;200;8.82;0.074;8.33;9.8;0.3798
90;spaghetti bolognese;99.185;1.39;0.026;1.61;7.43;0.37
91;spaghetti carbonara;400;1.39;0.026;1.61;7.43;0.37
92;spring rolls;190.005;11.9;0.048;7.14;19.05;0.595
93;steak;250;0.0;0.0;0.0;111.11;0.0
94;strawberry shortcake;308.728;5.26;0.0;21.05;57.89;0.0
95;sushi;150;0.0;0.0;0.0;3.57;0.0
96;tacos;200;10.94;0.016;4.69;23.44;0.16069999999999998
97;octopus balls;200;12.3;0.035;0.8;0.0;0.0
98;tiramisu;283.522;5.91;0.066;24.26;29.61;0.0011
99;tuna tartare;200;15.67;0.032;13.84;1.56;0.0052
100;waffles;264.730;4.69;0.031;17.19;51.56;0.0
