;name;energy_100g;protein_100g;fat_100g;carbohydrates_100g;;
0;apple_pie;272.789;2.63;14.04;35.09;;
1;baby_back_ribs;228.962;18.75;9.82;0.0;;
2;baklava;429.244;6.64;29.13;37.53;;
3;beef_carpaccio;200;27.1;14.93;0.0;;
4;beef_tartare;250;15.67;13.84;1.56;;
5;beet_salad;150;1.32;5.29;11.01;;
6;beignets;350;12.5;0.0;75.0;;
7;bibimbap;150;5.38;2.81;8.34;;
8;bread_pudding;306.876;4.42;12.39;43.36;;
9;breakfast_burrito;228.484;5.16;5.16;18.06;;
10;bruschetta;85.502;4.03;7.7;22.18;;
11;caesar_salad;178.055;5.91;15.75;7.48;;
12;cannoli;300;6.32;14.74;42.11;;
13;caprese_salad;147.941;3.52;11.97;8.45;;
14;carrot_cake;419.906;3.85;29.23;56.15;;
15;ceviche;100;10.34;0.75;3.58;;
16;cheese_plate;400;6.46;11.51;15.58;;
17;cheesecake;400;5.5;22.5;25.5;;
18;chicken_curry;135.035;5.73;3.85;6.67;;
19;chicken_quesadilla;117.588;14.16;10.62;22.12;;
20;chicken_wings;215.817;18.58;18.58;0.0;;
21;chocolate_cake;387.897;3.53;12.94;60.0;;
22;chocolate_mousse;268.875;1.19;23.81;19.05;;
23;churros;400.086;3.02;30.58;49.8;;
24;clam_chowder;110.498;2.68;3.12;8.48;;
25;club_sandwich;250;14.04;12.33;20.21;;
26;crab_cakes;191.849;11.76;5.88;15.29;;
27;crème_brulee;389.888;3.64;18.18;17.27;;
28;croque_madame;350;15.0;7.5;70.0;;
29;cup_cakes;250;2.22;11.11;60.0;;
30;deviled_eggs;293.014;10.71;25.0;0.0;;
31;donuts;428.970;4.0;26.0;64.0;;
32;dumplings;119.5;14.29;0.89;73.21;;
33;edamame;202.014;10.59;4.71;8.24;;
34;eggs_benedict;300;12.65;22.55;8.25;;
35;escargots;250;16.95;0.85;1.69;;
36;falafel;364.415;8.33;40.54;29.32;;
37;filet_mignon;250;15.18;15.18;0.0;;
38;fish_and_chips;300;13.9;10.66;12.63;;
39;foie_gras;450;11.4;43.84;4.67;;
40;french_fries;141.01;2.38;4.76;25.0;;
41;french_onion_soup;73.492;4.21;3.51;6.32;;
42;french_toast;226.094;6.78;3.39;33.05;;
43;fried_calamari;300;2.07;18.1;34.05;;
44;fried_rice;200;7.69;3.21;27.24;;
45;frozen_yogurt;164.204;4.41;2.21;32.35;;
46;garlic_bread;334.660;8.51;12.77;40.43;;
47;gnocchi;199.872;3.33;0.0;33.33;;
48;greek_salad;76.320;2.01;4.03;7.38;;
49;grilled_cheese_sandwich;250;15.33;18.0;31.33;;
50;grilled_salmon;149.494;24.64;9.42;0.0;;
51;guacamole;145.107;3.57;7.14;10.71;;
52;gyoza;267.441;3.33;7.14;33.33;;
53;hamburger;267.441;9.3;2.33;44.19;;
54;hot_and_sour_soup;50;2.58;1.21;4.35;;
55;hot_dog;185.942;19.3;14.04;1.75;;
56;huevos_rancheros;477.044;6.87;6.48;8.72;;
57;hummus;204.701;10.71;8.93;28.57;;
58;ice_cream;220.701;4.29;8.57;37.14;;
59;lasagna;220.817;12.5;1.79;75.0;;
60;lobster_bisque;120.217;5.22;2.6;1.7;;
61;lobster_roll_sandwich;200;21.64;8.12;16.5;;
62;macaroni_and_cheese;199.756;6.09;4.78;18.7;;
63;macarons;400;10.0;23.33;53.33;;
64;miso_soup;375.947;1.92;0.8;2.08;;
65;mussels;71.461;23.89;4.42;7.08;;
66;nachos;300;4.32;21.5;34.91;;
67;omelette;150;7.93;3.96;4.85;;
68;onion_rings;425.702;0.0;21.43;71.43;;
69;oysters;70;4.77;10.78;18.41;;
70;pad_thai;148.897;8.12;7.39;14.32;;
71;paella;422.073;13.33;3.33;82.22;;
72;pancakes;262.342;6.45;2.42;53.23;;
73;panna_cotta;250;3.0;10.0;30.0;;
74;peking_duck;250;0.36;0.13;60.61;;
75;pho;300;6.14;2.24;10.39;;
76;pizza;251.126;10.59;9.41;23.53;;
77;pork_chop;200;27.69;10.5;0.0;;
78;poutine;300;11.25;18.75;20.0;;
79;prime_rib;350;16.15;31.66;0.0;;
80;pulled_pork_sandwich;250;10.33;7.07;31.52;;
81;ramen;359.933;12.73;2.73;63.64;;
82;ravioli;219.402;13.0;10.0;29.0;;
83;red_velvet_cake;413.685;4.67;22.43;57.01;;
84;risotto;319.099;8.11;2.7;75.68;;
85;samosa;300;4.66;17.87;32.21;;
86;sashimi;150;14.73;9.3;3.1;;
87;scallops;84.176;15.04;0.88;0.88;;
88;seaweed_salad;85.641;0.0;2.78;11.11;;
89;shrimp_and_grits;200;8.82;8.33;9.8;;
90;spaghetti_bolognese;99.185;1.39;1.61;7.43;;
91;spaghetti_carbonara;400;1.39;1.61;7.43;;
92;spring_rolls;190.005;11.9;7.14;19.05;;
93;steak;250;0.0;0.0;111.11;;
94;strawberry_shortcake;308.728;5.26;21.05;57.89;;
95;sushi;150;0.0;0.0;3.57;;
96;tacos;200;10.94;4.69;23.44;;
97;octopus_balls;200;12.3;0.8;0.0;;
98;tiramisu;283.522;5.91;24.26;29.61;;
99;tuna_tartare;200;15.67;13.84;1.56;;
100;waffles;264.730;4.69;17.19;51.56;;
